year,date,text
2025,2025-01-02,[1BPU] 새해소망 (1/2 10시 ~ 1/7 10시)
2025,2025-01-03,[4BPU] 데상트 런칭 (1/3 10시 ~ 1/6 10시)
2025,2025-01-03,첫구매RUN
2025,2025-01-03,[WEEKEND SALE]
2025,2025-01-06,[1BPU] 새해소망 (1/2 10시 ~ 1/7 10시)
2025,2025-01-07,[전관행사] L+DAY (1/7 10시 ~ 1/9 10시)
2025,2025-01-09,[1BPU] 윈터 패브릭 (1/9 10시 ~ 1/13 10시)
2025,2025-01-09,[4BPU] 리빙기프트 (1/9 10시 ~ 1/13 10시)
2025,2025-01-10,첫구매RUN
2025,2025-01-10,[WEEKEND SALE]
2025,2025-01-13,[전관행사] WINTER SUPER SALE (1/13 10시 ~ 1/20 10시)
2025,2025-01-17,[전관행사] 설선물 (1/17 10시 ~ 1/24 10시)
2025,2025-01-17,첫구매RUN
2025,2025-01-17,위켄드 세일 미진행
2025,2025-01-20,[전관행사] 설선물 (1/17 10시 ~ 1/24 10시)
2025,2025-01-24,첫구매RUN
2025,2025-01-24,[WEEKEND SALE]
2025,2025-01-31,첫구매RUN
2025,2025-01-31,[WEEKEND SALE]
2025,2025-02-04,[전관행사] L+DAY (2/4 10시 ~ 2/6 10시) * 2/4 10시 ~ 2/6 10시 가변탭 우선 랜딩
2025,2025-02-06,[1BPU] 클리어런스 (2/6 10시 ~ 2/10 10시)
2025,2025-02-06,[4BPU] 필드&스포츠 (2/6 10시 ~ 2/10 10시)
2025,2025-02-07,첫구매RUN
2025,2025-02-07,[WEEKEND SALE]
2025,2025-02-10,[4BPU] 리빙시즌오프 (2/10 10시 ~ 2/13 10시)
2025,2025-02-13,[2BPU] 파이널세일 (2/13 10시 ~ 2/17 10시)
2025,2025-02-10,[3BPU] 럭셔리위크 (2/10 10시 ~ 2/14 10시)
2025,2025-02-14,[4BPU] 뷰티데이 (2/14 10시 ~ 2/17 10시)
2025,2025-02-14,첫구매RUN
2025,2025-02-14,[WEEKEND SALE]
2025,2025-02-17,[전관행사] TREND PREVIEW : SPRING (2/17 10시 ~ 2/24 10시) * 2/17 10시 ~ 2/19 10시 가변탭 우선 랜딩
2025,2025-02-21,첫구매RUN
2025,2025-02-21,[WEEKEND SALE]
2025,2025-02-24,[1BPU] 헤지스위크 (2/24 10시 ~ 2/28 10시)
2025,2025-02-28,[1BPU] 컨템앰버서더 (2/28 10시 ~ 3/3 10시)
2025,2025-02-24,[1BPU] 봄스카프 (2/24 10시 ~ 2/28 10시)
2025,2025-02-28,첫구매RUN
2025,2025-02-28,[WEEKEND SALE]
2025,2025-03-04,[전관행사] L+DAY (3/4 10시 ~ 3/7 10시) * 3/4 10시 ~ 3/7 10시 가변탭 우선 랜딩
2025,2025-03-06,"[1, 2BPU] 바버의모든것 (3/6 10시 ~ 3/10 10시)"
2025,2025-03-07,첫구매RUN
2025,2025-03-07,[WEEKEND SALE]
2025,2025-03-10,[1BPU] 닥스레이디스 (3/10 10시 ~ 3/14 10시)
2025,2025-03-14,[1BPU] 나들이코디 (3/14 10시 ~ 3/17 10시)
2025,2025-03-10,[2BPU] 아울렛페스타 (3/10 10시 ~ 3/17 10시)
2025,2025-03-14,첫구매RUN
2025,2025-03-14,[WEEKEND SALE]
2025,2025-03-17,[전관행사] SPRING FESTA (가제) (3/17 10시 ~ 3/24 10시) * 3/17 10시 ~ 3/19 10시 가변탭 우선 랜딩
2025,2025-03-20,첫구매RUN
2025,2025-03-21,[WEEKEND SALE]
2025,2025-03-24,[1BPU] 맨즈S/S (3/24 10시 ~ 3/28 10시)
2025,2025-03-28,[1BPU] 아떼붐위크 (3/28 10시 ~ 3/31 10시)
2025,2025-03-24,[입점사업부] 새로왔어요! (3/24 10시 ~ 3/28 10시)
2025,2025-03-28,[4BPU] 봄맞이리빙 (3/28 10시 ~ 3/31 10시)
2025,2025-03-28,첫구매RUN
2025,2025-03-28,[WEEKEND SALE]
2025,2025-03-31,"[1, 2BPU] 스프링빅세일 (3/31 10시 ~ 4/7 10시)"
2025,2025-04-04,"[1, 4BPU] GO!LF (4/4 10시 ~ 4/7 10시)"
2025,2025-04-04,첫구매RUN
2025,2025-04-04,[WEEKEND SALE]
2025,2025-04-08,[전관행사] L+DAY (4/8 10시 ~ 4/10 10시) * 4/8 10시 ~ 4/10 10시 가변탭 우선 랜딩
2025,2025-04-10,[1BPU] KEEN (4/10 10시 ~ 4/14 10시)
2025,2025-04-10,[2BPU] 티셔츠페스타 (4/10 10시 ~ 4/14 10시)
2025,2025-04-11,첫구매RUN
2025,2025-04-11,[WEEKEND SALE]
2025,2025-04-14,[1BPU] 서머프리뷰 (4/14 10시 ~ 4/18 10시)
2025,2025-04-18,[4BPU] 일상의공간 (4/18 10시 ~ 4/21 10시)
2025,2025-04-14,[1BPU] 독점공개 (4/14 10시 ~ 4/18 10시)
2025,2025-04-18,[4BPU] 뷰티풀신상 (4/18 10시 ~ 4/21 10시)
2025,2025-04-18,첫구매RUN
2025,2025-04-18,[WEEKEND SALE]
2025,2025-04-21,[1BPU] 핏플랍SALE (4/21 10시 ~ 4/25 10시)
2025,2025-04-26,[전관행사] GOLDEN WEEK (4/25 10시 ~ 5/2 10시) * 4/25 10시 ~ 4/28 10시 가변탭 우선 랜딩
2025,2025-04-21,[4BPU] 스윔라이프 (4/21 10시 ~ 4/25 10시)
2025,2025-04-25,[3BPU] 뉴 스타일 (4/25 10시 ~ 4/28 10시)
2025,2025-04-25,첫구매RUN
2025,2025-04-28,[전관행사] GOLDEN WEEK (4/25 10시 ~ 5/2 10시) * 4/25 10시 ~ 4/28 10시 가변탭 우선 랜딩
2025,2025-04-28,[전관행사] 선물의 기준 (4/28 10시 ~ 5/7 10시) * 4/28 10시 ~ 4/30 10시 가변탭 우선 랜딩
2025,2025-05-02,첫구매RUN
2025,2025-05-02,[WEEKEND SALE]
2025,2025-05-07,[1BPU] 티셔츠&팬츠 > 여름필수이너 (5/7 10시 ~ 5/12 10시)
2025,2025-05-05,[전관행사] 선물의 기준 (4/28 10시 ~ 5/7 10시)
2025,2025-05-07,[3BPU] 럭셔리위크 (5/7 10시 ~ 5/12 10시)
2025,2025-05-09,첫구매RUN
2025,2025-05-09,[WEEKEND SALE]
2025,2025-05-13,[전관행사] L+DAY (5/13 10시 ~ 5/16 10시) * 5/13 10시 ~ 5/16 10시 가변탭 우선 랜딩
2025,2025-05-16,[1BPU] 컨템시즌오프 (5/15 10시 ~ 5/19 10시)
2025,2025-05-16,"[1, 2BPU] 핏플랍 (5/15 10시 ~ 5/19 10시)"
2025,2025-05-16,첫구매RUN
2025,2025-05-16,[WEEKEND SALE]
2025,2025-05-19,[2BPU] 프리서머세일 (5/19 10시 ~ 5/23 10시)
2025,2025-05-23,[1BPU] 스타일가이드 (5/23 10시 ~ 5/26 10시)
2025,2025-05-19,"[3, 4BPU] 새로온S.I. (5/19 10시 ~ 5/23 10시)"
2025,2025-05-23,[4BPU] 리빙쿨세일 (5/23 10시 ~ 5/26 10시)
2025,2025-05-23,첫구매RUN
2025,2025-05-23,[WEEKEND SALE]
2025,2025-05-26,[전관행사] 이번 주 뭐 입지!? (가제) (5/26 10시 ~ 6/2 10시) * 5/26 10시 ~ 5/28 10시 가변탭 우선 랜딩
2025,2025-05-30,첫구매RUN
2025,2025-05-30,[WEEKEND SALE]
2025,2025-06-03,[전관행사] L+DAY (6/3 10시 ~ 6/5 10시) * 6/3 10시 ~ 6/5 10시 가변탭 우선 랜딩
2025,2025-06-05,[1BPU] 헤지스시즌오프 (6/5 10시 ~ 6/9 10시)
2025,2025-06-06,첫구매RUN
2025,2025-06-06,[WEEKEND SALE]
2025,2025-06-09,[1BPU] 캡슐컬렉션 (6/9 10시 ~ 6/13 10시)
2025,2025-06-13,[3BPU] 세일의정석 (6/13 10시 ~ 6/16 10시)
2025,2025-06-09,[1BPU] 독점공개! (6/9 10시 ~ 6/13 10시)
2025,2025-06-13,첫구매RUN
2025,2025-06-13,[WEEKEND SALE]
2025,2025-06-16,[전관행사] SUMMER SUPER SALE (6/16 10시 ~ 6/23 10시) * 6/16 10시 ~ 6/18 10시 가변탭 우선 랜딩
2025,2025-06-20,첫구매RUN
2025,2025-06-23,[3BPU] 서머시즌오프 (6/23 10시 ~ 6/27 10시)
2025,2025-06-27,"[1, 2BPU] 핏플랍 최저가전 (6/27 10시 ~ 6/30 10시)"
2025,2025-06-23,[4BPU] 쾌적한리빙 (6/23 10시 ~ 6/27 10시)
2025,2025-06-27,첫구매RUN
2025,2025-06-27,[WEEKEND SALE]
2025,2025-06-30,[1BPU] 상반기결산 (6/30 10시 ~ 7/4 10시)
2025,2025-07-04,[2BPU] 서머아울렛 (7/4 10시 ~ 7/7 10시)
2025,2025-07-04,[4BPU] 쿨서머뷰티 (7/4 10시 ~ 7/7 10시)
2025,2025-07-04,첫구매RUN
2025,2025-07-04,[WEEKEND SALE]
2025,2025-07-08,[전관행사] L+DAY (7/8 10시 ~ 7/11 10시) ※ 3일 진행 * 7/8 10시 ~ 7/11 10시 가변탭 우선 랜딩
2025,2025-07-11,[1BPU] 핫서머세일 (7/11 10시 ~ 7/14 10시)
2025,2025-07-11,[3BPU] 키즈역시즌 (7/11 10시 ~ 7/14 10시)
2025,2025-07-11,첫구매RUN
2025,2025-07-11,[WEEKEND SALE]
2025,2025-07-14,[4BPU] 서머리빙특가 (7/14 10시 ~ 7/18 10시)
2025,2025-07-18,[4BPU] 러닝올데이 (7/18 10시 ~ 7/21 10시)
2025,2025-07-14,수입 전문관 탭 오픈
2025,2025-07-18,첫구매RUN
2025,2025-07-18,[WEEKEND SALE]
2025,2025-07-21,[전관행사] WHAT'S IN MY CARRIER (7/21 10시 ~ 7/28 10시) * 7/21 10시 ~ 7/23 10시 가변탭 우선 랜딩
2025,2025-07-21,수입 전문관 탭 오픈
2025,2025-07-25,첫구매RUN
2025,2025-07-25,[WEEKEND SALE]
2025,2025-07-28,"[1, 2BPU] 핏플랍 메가세일 (7/28 10시 ~ 8/1 10시)"
2025,2025-08-01,첫구매RUN
2025,2025-08-01,[WEEKEND SALE]
2025,2025-08-05,[전관행사] L+DAY (8/5 10시 ~ 8/8 10시) ※ 3일 진행 * 8/5 10시 ~ 8/8 10시 가변탭 우선 랜딩
2025,2025-08-08,[3BPU] 파이널 역시즌 (8/8 10시 ~ 8/11 10시)
2025,2025-08-08,첫구매RUN
2025,2025-08-08,[WEEKEND SALE]
2025,2025-08-11,"[1, 2BPU] 바버의 모든 것 (8/11 10시 ~ 8/15 10시)"
2025,2025-08-15,[2BPU] 위켄드 아울렛 (8/15 10시 ~ 8/18 10시)
2025,2025-08-15,첫구매RUN
2025,2025-08-15,[WEEKEND SALE]
2025,2025-08-18,[전관행사] 브랜드 페스타 (8/18 10시 ~ 8/25 10시) * 8/18 10시 ~ 8/20 10시 가변탭 우선 랜딩
2025,2025-08-22,첫구매RUN
2025,2025-08-22,[WEEKEND SALE]
2025,2025-08-25,"[1, 2BPU] 굿바이 핏플랍 (8/25 10시 ~ 8/29 10시)"
2025,2025-08-29,[전관행사] L+ SUPER WEEK (8/29 10시 ~ 9/5 10시) ※ 7일 진행 * 8/29 10시 ~ 9/1 10시 가변탭 우선 랜딩
2025,2025-08-25,[3BPU] 럭셔리위크 (8/25 10시 ~ 8/29 10시)
2025,2025-08-29,첫구매RUN
2025,2025-09-01,[전관행사] L+ SUPER WEEK (8/29 10시 ~ 9/5 10시) ※ 7일 진행 * 8/29 10시 ~ 9/1 10시 가변탭 우선 랜딩
2025,2025-09-05,[4BPU] 이달의 리빙템 (9/5 10시 ~ 9/8 10시)
2025,2025-09-05,첫구매RUN
2025,2025-09-05,[WEEKEND SALE]
2025,2025-09-08,"[1, 2BPU] 파이널세일 (9/8 10시 ~ 9/12 10시)"
2025,2025-09-12,[1BPU] 아떼붐위크 (9/12 10시 ~ 9/15 10시)
2025,2025-09-08,[3BPU] 키즈신상대전 (9/8 10시 ~ 9/12 10시)
2025,2025-09-12,[4BPU] 뷰티주말특가 (9/12 10시 ~ 9/15 10시)
2025,2025-09-12,첫구매RUN
2025,2025-09-12,[WEEKEND SALE]
2025,2025-09-15,[1BPU] 독점공개 (9/15 10시 ~ 9/19 10시)
2025,2025-09-19,"[1, 4BPU] GO!LF (골프 연합_변경 예정) (9/19 10시 ~ 9/22 10시)"
2025,2025-09-15,[2BPU] 아울렛 페스타 (9/15 10시 ~ 9/19 10시)
2025,2025-09-19,[4BPU] 살림의 모든 것 (9/19 10시 ~ 9/22 10시)
2025,2025-09-19,첫구매RUN
2025,2025-09-19,[WEEKEND SALE]
2025,2025-09-22,[전관행사] 연휴의 모든 순간 (9/22 10시 ~ 9/29 10시) * 9/22 10시 ~ 9/24 10시 가변탭 우선 랜딩
2025,2025-09-26,추석 선물 대응_선물관탭 최우선순위 노출 (9/26 10시 ~10/3 10시)
2025,2025-09-26,첫구매RUN
2025,2025-09-29,추석 선물 대응_선물관탭 최우선순위 노출 (9/26 10시 ~10/3 10시)
2025,2025-10-03,[전관행사] 연휴의 쿠폰RUN (10/3 10시 ~ 10/10 10시)
2025,2025-10-03,첫구매RUN
2025,2025-10-03,[WEEKEND SALE]
2025,2025-10-06,[전관행사] 연휴의 쿠폰RUN (10/3 10시 ~ 10/10 10시)
2025,2025-10-10,[1BPU] 아우터트렌드 (10/10 10시 ~ 10/13 10시)
2025,2025-10-10,[3BPU] 어텀페스타 > 컨템신상 (10/10 10시 ~ 10/13 10시)
2025,2025-10-10,첫구매RUN
2025,2025-10-09,[WEEKEND SALE] ▶ 주말장터 (10/9 10시 ~ 10/13 10시)
2025,2025-10-13,[2BPU] 아울렛빅세일 (10/13 10시 ~ 10/17 10시)
2025,2025-10-17,[전관행사] L+ SUPER WEEK (10/17 10시 ~ 10/24 10시) ※ 7일 진행 * 10/17 10시 ~ 10/20 10시 가변탭 우선 랜딩
2025,2025-10-13,[4BPU] 가을집꾸미기 (10/13 10시 ~ 10/17 10시)
2025,2025-10-17,첫구매RUN
2025,2025-10-20,[전관행사] L+ SUPER WEEK (10/17 10시 ~ 10/24 10시) ※ 7일 진행 * 10/17 10시 ~ 10/20 10시 가변탭 우선 랜딩
2025,2025-10-24,"[3, 4BPU] 아우터위크 (10/24 10시 ~ 10/27 10시)"
2025,2025-10-24,[4BPU] GO!LF (10/24 10시 ~ 10/27 10시)
2025,2025-10-24,첫구매RUN
2025,2025-10-24,[WEEKEND SALE]
2025,2025-10-27,[2BPU] 미리겨울세일 (10/27 10시 ~ 10/31 10시)
2025,2025-10-31,[3BPU] 뉴럭셔리 (10/31 10시 ~ 11/3 10시)
2025,2025-10-27,[4BPU] 뷰티특가 (10/27 10시 ~ 10/31 10시)
2025,2025-10-31,[1BPU] 아떼붐위크 (10/31 10시 ~ 11/3 10시)
2025,2025-10-31,첫구매RUN
2025,2025-10-31,[WEEKEND SALE]
2025,2025-11-03,[1BPU] 인기 스웨이드 (11/3 10시 ~ 11/7 10시)
2025,2025-11-07,[1BPU] 컨템 시즌오프 (11/7 10시 ~ 11/10 10시)
2025,2025-11-07,첫구매RUN
2025,2025-11-07,[위켄드세일_블랙위크]
