grain,perspective,year,period,period_sort,seg1,seg2,metric,value,source
month,overall,2025,1월,20250100,,,일평균거래액,509755443.167155,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,2월,20250200,,,일평균거래액,523281908.766234,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,3월,20250300,,,일평균거래액,549136387.184751,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,4월,20250400,,,일평균거래액,514950221.787879,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,5월,20250500,,,일평균거래액,478050351.055718,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,6월,20250600,,,일평균거래액,474727400.393939,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,7월,20250700,,,일평균거래액,411056057.008798,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,8월,20250800,,,일평균거래액,392980733.372434,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,9월,20250900,,,일평균거래액,656785220.121212,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,10월,20251000,,,일평균거래액,1037790791.55425,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,11월,20251100,,,일평균거래액,643003504.424242,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,12월,20251200,,,일평균거래액,580696241.143695,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,1월,20260100,,,일평균거래액,557582234.868035,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,2월,20260200,,,일평균거래액,516918654.87013,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,3월,20260300,,,일평균거래액,565145005.42522,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,4월,20260400,,,일평균거래액,525144713.757576,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,5월,20260500,,,일평균거래액,489240525.307918,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,6월,20260600,,,일평균거래액,449822001.939394,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,7월,20260700,,,일평균거래액,425851912.909091,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,1월,20250100,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,2월,20250200,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,3월,20250300,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,4월,20250400,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,5월,20250500,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,6월,20250600,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,7월,20250700,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,8월,20250800,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,9월,20250900,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,10월,20251000,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,11월,20251100,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,12월,20251200,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,1월,20260100,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,2월,20260200,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,3월,20260300,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,4월,20260400,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,5월,20260500,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,6월,20260600,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,7월,20260700,,,거래액비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,1월,20250100,,,일평균고객수,1663.38709677419,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,2월,20250200,,,일평균고객수,1791.57142857143,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,3월,20250300,,,일평균고객수,2043.70967741935,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,4월,20250400,,,일평균고객수,2153.3,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,5월,20250500,,,일평균고객수,2046.51612903226,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,6월,20250600,,,일평균고객수,2167.2,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,7월,20250700,,,일평균고객수,1982.67741935484,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,8월,20250800,,,일평균고객수,1768,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,9월,20250900,,,일평균고객수,1942.26666666667,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,10월,20251000,,,일평균고객수,2025.41935483871,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,11월,20251100,,,일평균고객수,2090.8,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,12월,20251200,,,일평균고객수,1881.61290322581,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,1월,20260100,,,일평균고객수,1696.12903225806,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,2월,20260200,,,일평균고객수,1712.42857142857,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,3월,20260300,,,일평균고객수,1979.67741935484,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,4월,20260400,,,일평균고객수,2055.16666666667,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,5월,20260500,,,일평균고객수,1956.41935483871,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,6월,20260600,,,일평균고객수,1903.83333333333,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2026,7월,20260700,,,일평균고객수,1857,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,1월,20250100,,,고객비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
month,overall,2025,2월,20250200,,,고객비중,1,전체관점 - 월별 실적 (기본) (1).xlsx
